保存,bǎocún,động từ,"Bảo tồn, lưu giữ",请保存这个文件。,Qǐng bǎocún zhège wénjiàn,Hãy lưu giữ tài liệu này.
保护,bǎohù,động từ,Bảo vệ,我们要保护环境。,Wǒmen yào bǎohù huánjìng,Chúng ta phải bảo vệ môi trường.
保留,bǎoliú,động từ,Giữ lại,这些东西要保留吗？,Zhèxiē dōngxi yào bǎoliú ma?,Những đồ vật này cần giữ lại không?
保险,bǎoxiǎn,danh từ,Bảo hiểm,他买了健康保险。,Tā mǎi le jiànkāng bǎoxiǎn,Anh ấy đã mua bảo hiểm sức khỏe.
保证,bǎozhèng,động từ,"Cam đoan, đảm bảo",我保证不迟到。,Wǒ bǎozhèng bù chídào,Tôi đảm bảo sẽ không đến muộn.
报,bào,danh từ,"Báo, giấy báo",他的事迹终于见(tô đỏ报)了。,Tā de shìjì zhōngyú jiàn bào le,Cuối cùng sự việc của anh ấy cũng được đăng báo.
报到,bàodào,động từ,Báo danh có mặt,新学生要先报到。,Xīn xuéshēng yào xiān bàodào,Học sinh mới phải báo danh trước.
报道,bàodào,động từ,Đưa tin,新闻报道了这件事。,Xīnwén bàodào le zhè jiàn shì,Tin tức đã đưa tin về việc này.
报告,bàogào,danh từ,Báo cáo,他写了一个报告。,Tā xiě le yí gè bàogào,Anh ấy đã viết một bản báo cáo.
背,bēi,động từ,"Mang, đeo (trên lưng)",他背着一个书包。,Tā bēi zhe yí gè shūbāo,Anh ấy đang đeo một cái cặp.
北部,běibù,danh từ,Khu vực phía bắc,中国的北部很冷。,Zhōngguó de běibù hěn lěng,Miền Bắc Trung Quốc rất lạnh.
背,bèi,danh từ,Lưng,我的背有点疼。,Wǒ de bèi yǒudiǎn téng,Lưng của tôi đang hơi đau.
背后,bèihòu,danh từ,Phía sau,他站在我背后。,Tā zhàn zài wǒ bèihòu,Anh ấy đứng phía sau tôi.
被,bèi,giới từ,Bị (dùng trong câu bị động),花被风吹走了。,Huā bèi fēng chuī zǒu le,Hoa bị gió thổi bay đi mất rồi.
被子,bèizi,danh từ,Chăn,晚上天气冷，你们要盖被子。,"Wǎnshàng tiānqì lěng, nǐmen yào g","Ban đêm trời lạnh, các bạn phải nhớ đắp chăn."
本来,běnlái,phó từ,"Vốn dĩ, ban đầu",我本来不想去。,Wǒ běnlái bù xiǎng qù,Ban đầu tôi không muốn đi.
本领,běnlǐng,danh từ,"Bản lĩnh, khả năng",他的(tô đỏ 本领)让人佩服。,Tā de běnlǐng ràng rén pèifú,Năng lực của anh ấy khiến người khác nể phục.
本事,běnshi,danh từ,"Tài năng, năng lực",她很有本事。,Tā hěn yǒu běnshi,Cô ấy rất giỏi giang.
比较,bǐjiào,phó từ,"Khá, tương đối",今天比较冷。,Jīntiān bǐjiào lěng,Hôm nay khá lạnh.
比例,bǐlì,danh từ,Tỷ lệ,男女比例差不多。,Nánnǚ bǐlì chàbuduō,Tỷ lệ nam nữ gần như bằng nhau.
比赛,bǐsài,danh từ,"Thi đấu, cuộc thi",我们明天有一个篮球比赛。,Wǒmen míngtiān yǒu yí gè lánqiú,Ngày mai chúng tôi có một cuộc thi bóng rổ.
必然,bìrán,phó từ,"Chắc chắn, tất nhiên",努力(tô đỏ 必然)成功。,Nǔlì bìrán chénggōng,Chăm chỉ chắc chắn sẽ thành công.
必要,bìyào,tính từ,Cần thiết,我觉得没有必要去。,Wǒ juéde méiyǒu bìyào qù,Tôi thấy không cần thiết phải đi.
变化,biànhuà,động từ,"Thay đổi, biến đổi",天气有点变化。,Tiānqì yǒudiǎn biànhuà,Thời tiết có chút thay đổi.
变为,biànwéi,động từ,Trở thành,冰变为了水。,Bīng biànwéi le shuǐ,Nước đá đã biến thành nước.
标题,biāotí,danh từ,Tiêu đề,请写一个好标题。,Qǐng xiě yí gè hǎo biāotí,Hãy viết một tiêu đề hay.
标准,biāozhǔn,tính từ,Tiêu chuẩn,他中文说得很标准。,Tā zhōngwén shuō de hěn biāozhǔ,Anh ấy nói tiếng Trung rất chuẩn.
表达,biǎodá,động từ,Biểu đạt,他用汉语表达自己的想法。,Tā yòng hànyǔ biǎodá zìjǐ de xiǎng,Anh ấy dùng tiếng Trung biểu đạt suy nghĩ của mình.
表格,biǎogé,danh từ,"Bảng biểu, mẫu đơn",请把信息写在这个表格里。,Qǐng bǎ xìnxī xiě zài zhè ge biǎogé,Vui lòng viết thông tin vào bảng này.
表面,biǎomiàn,danh từ,Bề mặt,桌子的表面很干净。,Zhuōzi de biǎomiàn hěn gānjìng,Bề mặt của cái bàn rất sạch.
表明,biǎomíng,động từ,"Thể hiện, bày tỏ",他需要表明自己的想法。,Tā xūyào biǎomíng zìjǐ de xiǎngfǎ,Anh ấy cần bày tỏ suy nghĩ của mình.
表现,biǎoxiàn,động từ,Biểu hiện,她在比赛中的表现很好。,Tā zài bǐsài zhōng de biǎoxiàn hěn,Cô ấy biểu hiện rất tốt trong cuộc thi.
表演,biǎoyǎn,động từ,Biểu diễn,孩子们在台上表演唱歌。,Háizimen zài táishàng biǎoyǎn chà,Các em nhỏ biểu diễn ca hát trên sân khấu.
并,bìng,liên từ,"Và, hơn nữa, mà còn",爸妈同意并支持我出国留学。,Bà mā tóngyì bìng zhīchí wǒ chūgu,Ba mẹ đồng ý và ủng hộ tôi đi du học.
并且,bìngqiě,liên từ,"Đồng thời, hơn nữa",他会说中文，并且会说法语。,"Tā huì shuō zhōngwén, bìngqiě hu","Anh ấy biết nói tiếng Trung, mà còn biết nói tiếng Pháp."
播出,bōchū,động từ,Phát sóng,这个电影每天晚上七点播出。,Zhège diànyǐngměitiān wǎnshàng,Chương trình này được phát sóng lúc 7 giờ tối mỗi ngày.
播放,bōfàng,động từ,"Phát (video, nhạc)",请播放这首歌。,Qǐng bōfàng zhè shǒu gē,Vui lòng phát bài hát này.
不必,búbì,phó từ,Không cần thiết,你不必担心这件事。,Nǐ búbì dānxīn zhè jiàn shì,Bạn không cần lo lắng chuyện này.
不断,búduàn,phó từ,Liên tục,他不断地努力学习。,Tā búduàn de nǔlì xuéxí,Anh ấy học hành chăm chỉ không ngừng.
不论,búlùn,liên từ,Bất kể,不论天气怎样，我们都去。,"Búlùn tiānqì zěnyàng, wǒmen dōu","Bất kể thời tiết ra sao, chúng ta đều đi."
补,bǔ,động từ,Bổ sung,他需要补习数学。,Tā xūyào bǔ xí shùxué,Anh ấy cần học bù môn Toán.
补充,bǔchōng,động từ,Bổ sung,我需要补充一些水。,Wǒ xūyào bǔchōng yīxiē shuǐ,Tôi cần bổ sung thêm ít nước.
不安,bù’ān,tính từ,Bất an,她感到很不安。,Tā gǎndào hěn bù’ān,Cô ấy cảm thấy rất bất an.
不得不,bùdébù,phó từ,Đành phải,因为下雨了，我不得不在家。,"Yīnwèi xià yǔ le, wǒ bùdé bù zàijiā","Bởi vì trời mưa rồi, tôi đành phải ở nhà."
不光,bùguāng,liên từ,Không chỉ,他不光会唱歌，还会跳舞。,"Tā bùguāng huì chànggē, hái huì ti",Anh ấy không chỉ biết hát mà còn biết nhảy.
不仅,bùjǐn,liên từ,Không những,她不仅聪明，还很漂亮。,"Tā bùjǐn cōngmíng, hái hěn piàolia",Cô ấy không những thông minh mà còn xinh đẹp.
布,bù,danh từ,Vải,这块布很贵。,Zhè kuài bù hěn guì,Miếng vải này rất đắt tiền.
步,bù,danh từ,Bước,我们一步一步地走。,Wǒmen yíbù yíbù de zǒu,Chúng tôi đi từng bước một.
部,bù,danh từ,Bộ phận,他在公司的人事部工作。,Tā zài gōngsī de rénshì bù gōngzu,Anh ấy làm ở phòng nhân sự công ty.
部门,bùmén,danh từ,Phòng ban,每个部门都有负责人。,Měi ge bùmén dōu yǒu fùzérén,Mỗi phòng ban đều có người phụ trách.
部长,bùzhǎng,danh từ,Bộ trưởng,他是教育部的部长。,Tā shì jiàoyù bù de bùzhǎng,Anh ấy là bộ trưởng bộ giáo dục.
才能,cáinéng,danh từ,Tài năng,她有音乐方面的才能。,Tā yǒu yīnyuè fāngmiàn de cáinén,Anh ấy có tài năng âm nhạc.
采取,cǎiqǔ,động từ,"Áp dụng, thực hiện",我们应该采取好的方法。,Wǒmen yīnggāi cǎiqǔ hǎo de fāngf,Chúng ta nên áp dụng phương pháp tốt.
采用,cǎiyòng,động từ,"Sử dụng, chọn dùng",公司采用了新的计划。,Gōngsī cǎiyòng le xīn de jìhuà,Công ty đã sử dụng kế hoạch mới.
彩色,cǎisè,danh từ,Màu sắc,我喜欢彩色的的衣服。,Wǒ xǐhuan cǎisè de yīfu,Tôi thích quần áo nhiều màu sắc.
曾经,céngjīng,phó từ,"Từng, đã từng",我曾经去过北京。,Wǒ céngjīng qù guò Běijīng,Tôi đã từng đến Bắc Kinh.
产生,chǎnshēng,động từ,"Sinh ra, tạo ra",这个问题产生了很多麻烦。,Zhège wèntí chǎnshēng le hěn duō,Vấn đề này gây ra nhiều rắc rối.
长城,Chángchéng,danh từ riêng,Vạn lý trường thành,我们打算去长城旅游。,Wǒmen dǎsuàn qù Chángchéng lǚ,Chúng tôi dự định đi du lịch Vạn Lý Trường Thành.
长处,chángchù,danh từ,Điểm mạnh,每个人都有自己的长处。,Měi ge rén dōu yǒu zìjǐ de chángch,Mỗi người đều có điểm mạnh riêng.
长期,chángqī,danh từ,"Thời gian dài, dài hạn",她长期生活在法国。,Tā chángqī shēnghuó zài fàguó,Cô ấy đã sống ở Pháp một thời gian dài.
厂,chǎng,danh từ,Nhà máy,他在一个大厂工作。,Tā zài yí ge dà chǎng gōngzuò,Anh ấy làm việc ở một nhà máy lớn.
场合,chǎnghé,danh từ,"Hoàn cảnh, dịp",这是一个重要的场合。,Zhè shì yí ge zhòngyào de chǎngh,Đây là một dịp quan trọng.
场所,chǎngsuǒ,danh từ,Nơi chốn,图书馆是安静的场所。,Túshūguǎn shì ānjìng de chǎngsuǒ,Thư viện là nơi yên tĩnh.
超级,chāojí,tính từ,"Siêu, cực kỳ",这家饭店超级好吃！,Zhè jiā fàndiàn chāojí hǎochī,Quán ăn này cực kỳ ngon!
朝,cháo,giới từ,Hướng về,花朝着太阳开。,Huā cháo zhe tàiyáng kāi,Hoa nở hướng về phía mặt trời.
吵,chǎo,động từ,Cãi nhau,你们吵得我头疼了。,Nǐmen chǎo de wǒ tóuténg le,"Họ đang cãi nhau, tôi không muốn nghe."
吵架,chǎojià,động từ,Cãi nhau,我和弟弟经常吵架。,Wǒ hé dìdi jīngcháng chǎojià,Tôi và em trai thường xuyên cãi nhau.
衬衫,chènshān,danh từ,Áo sơ mi,他穿了一件白衬衫。,Tā chuān le yí jiàn bái chènshān,Anh ấy mặc một chiếc áo sơ mi trắng.
补衣,chènyī,động từ,Sơ mi,妈妈去超市给我买了很多衬衣。,Māma qù chāoshì gěi wǒ mǎile hě,Mẹ tôi đi siêu thị đã mua cho tôi rất nhiều áo sơ mi.
称为,chēngwéi,động từ,Gọi là,她被称为数学天才。,Tā bèi chēng wéi shùxué tiāncái,Cô ấy được mệnh danh là thiên tài toán học.
成功,chénggōng,động từ,Thành công,为了得到成功，我们必须努力。,"Wèi le dédào chénggōng, wǒmen b","Để đạt được thành công, chúng ta cần phải nỗ lực."
成果,chéngguǒ,danh từ,Thành quả,这是他努力的成果。,Zhè shì tā nǔlì de chéngguǒ,Đây là thành quả của sự nỗ lực của anh ấy.
成就,chéngjiù,danh từ,Thành tựu,他取得了很多成就。,Tā qǔdé le hěn duō chéngjiù,Anh ấy đạt được nhiều thành tựu.
成立,chénglì,động từ,Thành lập,我们公司成立于2010年。,Wǒmen gōngsī chénglì yú 2010 niá,Công ty chúng tôi được thành lập năm 2010.
成熟,chéngshú,tính từ,"Trưởng thành, chín chắn",他现在变得很成熟了。,Tā xiànzài biàn de hěn chéngshú l,Giờ anh ấy đã trở nên rất trưởng thành.
成员,chéngyuán,danh từ,Thành viên,他是我们队的成员。,Tā shì wǒmen duì de chéngyuán,Anh ấy là thành viên trong đội của chúng tôi.
成长,chéngzhǎng,động từ,"Trưởng thành, lớn lên",孩子在父母的爱成长。,Háizǐ zài fùmǔ de ài chéngzhǎng,Đứa trẻ lớn lên trong tình yêu của cha mẹ.
城,chéng,danh từ,Thành phố,我们住在这个城里。,Wǒmen zhù zài zhège chéng lǐ,Chúng tôi sống trong thành phố này.
城市,chéngshì,danh từ,Thành phố,上海是中国的一个大城市。,Shànghǎi shì Zhōngguó de yí ge d,Thượng Hải là một thành phố lớn của Trung Quốc.
程度,chéngdù,danh từ,Mức độ,他的中文程度不错。,Tā de zhōngwén chéngdù bùcuò,Trình độ tiếng Trung của anh ấy khá tốt.
持续,chíxù,động từ,"Tiếp tục, kéo dài",下雨已经持续了三天了。,Xià yǔ yǐjīng chíxù le sān tiān le,Mưa đã kéo dài suốt ba ngày rồi.
充满,chōngmǎn,động từ,Tràn đầy,她的眼里充满了快乐。,Tā de yǎn lǐ chōngmǎn le kuàilè,Mắt cô ấy tràn đầy niềm vui.
重,chóng,phó từ,"Lặp lại, một lần nữa",这个问题太难了，我想重做一次。,"Zhè ge wèntí tài nán le, wǒ xiǎng c","Câu này khó quá, tôi muốn làm lại một lần nữa."
初,chū,danh từ,"Ban đầu, lúc đầu",他的初愿是帮助更多的人。,Tā de chū yuàn shì bāng zhù gèng,Nguyện vọng ban đầu của anh ấy là giúp đỡ nhiều ngườ
初一,chū yī,danh từ,"Lớp 7
mùng một tết","我弟弟今年上初一了。
大年初一，我们去外婆家拜年。","Wǒ dì di jīnnián shàng chū yī le/
/Dànián chūyī, wǒmen qù wàipó jiā","Em trai tôi hiện đang học lớp 7.
Mùng một Tết, chúng tôi đến nhà bà ngoại chúc Tết."
初步,chūbù,tính từ,"Sơ bộ, bước đầu",我们已经有了初步的计划。,Wǒmen yǐjīng yǒu le chūbù de jìhu,Chúng tôi đã có kế hoạch sơ bộ rồi.
初级,chūjí,tính từ,Sơ cấp,她在学初级汉语。,Tā zài xué chūjí Hànyǔ,Cô ấy đang học tiếng Trung sơ cấp.
初中,chūzhōng,danh từ,Trung học cơ sở,他是初中的学生。,Tā shì chūzhōng de xuéshēng,Anh ấy là học sinh trung học cơ sở.
除了,chúle,giới từ,"Ngoài ra, trừ ra","除了你, 谁我都不说。","Chúle nǐ, shéi wǒ dū bù shuō","Ngoài bạn ra, tôi không nói với ai hết."
处理,chǔlǐ,động từ,Xử lý,老师帮我处理了这个问题。,Lǎoshī bāng wǒ chǔlǐ le zhège wèn,Thầy giáo đã giúp tôi xử lý vấn đề này.
传,chuán,động từ,"Truyền, gửi",请把这个消息传给他。,Qǐng bǎ zhège xiāoxi chuán gěi tā,Hãy truyền lại tin này cho anh ấy.
传播,chuánbō,động từ,"Truyền bá, lan truyền",新闻传播的速度非常重要。,Xīnwén chuán bō de sùdù fēicháng,Tốc độ truyền bá tin tức rất quan trọng.
传来,chuánlái,động từ,"Truyền đến (âm thanh, tin tức.",外面传来很大的声音。,Wàimiàn chuánlái hěn dà de shēng,Bên ngoài truyền đến âm thanh rất to.
传说,chuánshuō,danh từ,Truyền thuyết,我听过这个地方的一个传说。,Wǒ tīngguò zhège dìfāng de yí gè,Tôi đã nghe một truyền thuyết về nơi này.
创新,chuàngxīn,động từ,"Đổi mới, sáng tạo",我们需要创新的想法。,Wǒmen xūyào chuàngxīn de xiǎng,Chúng ta cần những ý tưởng đổi mới.
创业,chuàngyè,động từ,Khởi nghiệp,他决定去创业，开自己的公司。,"Tā juédìng qù chuàngyè, kāi zìjǐ de","Anh ấy quyết định khởi nghiệp, tự mở công ty riêng."
创造,chuàngzào,động từ,"Sáng tạo, tạo ra",他们一起创造了这个产品。,Tāmen yìqǐ chuàngzào le zhège ch,Họ cùng nhau tạo ra sản phẩm này.
创作,chuàngzuò,động từ,"Sáng tác (văn học, nghệ thuật",他正在创作一首新歌。,Tā zhèngzài chuàngzuò yì shǒu xī,Anh ấy đang sáng tác một bài hát mới.
从来,cónglái,trạng từ,Từ trước đến nay,我从来没见过这么高的人。,Wǒ cónglái méi jiànguò zhème gāo,Tôi chưa từng thấy người nào cao như vậy.
从前,cóngqián,trạng từ,"Trước đây, ngày xưa",从前这里是一个小村子。,Cóngqián zhèlǐ shì yí gè xiǎo cūnzi,Ngày xưa nơi đây là một ngôi làng nhỏ.
从事,cóngshì,động từ,Làm việc; làm,她从事教育工作了很多年。,Tā cóngshì jiàoyù gōngzuò le hěnd,Cô ấy làm trong ngành giáo dục nhiều năm rồi.
村,cūn,danh từ,"Làng, thôn",我奶奶住在一个安静的村里。,Wǒ nǎinai zhù zài yí gè ānjìng de c,Bà tôi sống ở một ngôi làng yên tĩnh.
存,cún,động từ,"Cất, giữ, gửi (tiền)",我把钱存进银行了。,Wǒ bǎ qián cún jìn yínháng le,Tôi đã gửi tiền vào ngân hàng rồi.
存在,cúnzài,động từ,Tồn tại,我们的友谊永远存在。,Wǒmen de yǒuyì yǒngyuǎn cúnzài,Tình bạn của chúng ta sẽ mãi tồn tại.
错误,cuòwù,danh từ,"Lỗi, sai sót",他发现了一个小错误。,Tā fāxiàn le yí gè xiǎo cuòwù,Anh ấy phát hiện ra một lỗi nhỏ.
达到,dádào,động từ,"Đạt đến, đạt được",你达到了目标了吗？,Nǐ dádào le mùbiāo le ma?,Bạn đã đạt được mục tiêu chưa?
打破,dǎpò,động từ,Phá vỡ,小明打破了一个杯子。,Xiǎomíng dǎpò le yí gè bēizi,Tiểu Minh làm vỡ một cái ly.
打听,dǎtīng,động từ,Hỏi thăm,我去打听一下他的地址。,Wǒ qù dǎtīng yíxià tā de dìzhǐ,Tôi đi hỏi thăm địa chỉ của anh ấy.
大概,dàgài,phó từ,"Khoảng, đại khái",他大概三十岁左右。,Tā dàgài sānshí suì zuǒyòu,Anh ấy khoảng ba mươi tuổi.
大使馆,dàshǐguǎn,danh từ,Đại sứ quán,我明天要去中国大使馆。,Wǒ míngtiān yào qù Zhōngguó dàs,Ngày mai tôi phải đến đại sứ quán Trung Quốc.
大约,dàyuē,phó từ,Khoảng chừng,她大约在公园散步。,Tā dàyuē zài gōngyuán sànbù,Cô ấy chắc đang đi bộ ở công viên.
大夫,dàifu,danh từ,Bác sĩ,大夫告诉我要休息两天。,Dàifu gàosù wǒ yào xiūxí liǎng tiān,Bác sĩ nói tôi cần nghỉ ngơi 2 ngày.
代,dài,động từ,"Thay, thay thế",今天我帮你代一下班。,Jīntiān wǒ bāng nǐ dài yíxià bān,Hôm nay tôi thay bạn trực ca.
代表,dàibiǎo,danh từ,Đại diện,他是我们学校的代表。,Tā shì wǒmen xuéxiào de dàibiǎo,Anh ấy là đại diện cho trường chúng tôi.
代表团,dàibiǎotuán,danh từ,Đoàn đại biểu,外国代表团来了。,Wàiguó dàibiǎotuán lái le,Đoàn đại biểu nước ngoài đã đến.
带动,dàidòng,động từ,"Thúc đẩy, dẫn dắt",他带动了我们队走向成功。,Tā dàidòng le wǒmen duì zǒuxiàng,Anh ấy dẫn dắt đội của chúng ta đến thành công.
带领,dàilǐng,động từ,"Dẫn dắt, lãnh đạo",老师带领我们去参观博物馆。,Lǎoshī dàilǐng wǒmen qù cānguān,Thầy giáo dẫn chúng tôi đi tham quan viện bảo tàng.
单元,dānyuán,danh từ,"Đơn vị, bài học",今天我们学习第十单元。,Jīntiān wǒmen xuéxí dì shí dānyuá,Hôm nay chúng ta học bài số 10.
当初,dāngchū,danh từ,"Lúc đầu, ban đầu",我当初也有这样的想法。,Wǒ dāngchū yě yǒu zhèyàng de xi,Lúc đầu tôi cũng có suy nghĩ như vậy.
当地,dāngdì,danh từ,Địa phương,我们尝了很多当地美食。,Wǒmen cháng le hěn duō dāngdì,Chúng tôi đã thử nhiều món ăn địa phương.
当然,dāngrán,phó từ,Đương nhiên,你当然可以参加这个活动。,Nǐ dāngrán kěyǐ cānjiā zhège huód,Đương nhiên bạn có thể tham gia hoạt động này.
当中,dāngzhōng,giới từ,Ở giữa,他坐在我们俩当中。,Tā zuò zài wǒmen liǎ dāngzhōng,Anh ấy ngồi giữa hai chúng tôi.
刀,dāo,danh từ,Con dao,这里有一把刀。,Zhè li yǒuyī bǎ dāo,Ở đây có một con dao.
导演,dǎoyǎn,danh từ,Đạo diễn,这部电影的导演很有名。,Zhè bù diànyǐng de dǎoyǎn hěn yǒ,Đạo diễn của bộ phim này rất nổi tiếng.
到达,dàodá,động từ,Đến nơi,火车已经到达北京。,Huǒchē yǐjīng dàodá Běijīng,Tàu hỏa đã đến Bắc Kinh.
到底,dàodǐ,trạng từ,"Rốt cuộc, cuối cùng",你到底想说什么？,Nǐ dàodǐ xiǎng shuō shénme?,Rốt cuộc bạn muốn nói gì?
得分,défēn,động từ,Ghi điểm,她在考试中得分很高。,Tā zài kǎoshì zhōng défēn hěn gāo,Cô ấy đạt được điểm rất cao trong kỳ thi.
等待,děngdài,động từ,"Đợi, chờ đợi",你可以等待我一下吗？,Nǐ kěyǐ děngdài wǒ yīxià ma?,Bạn có thể đợi tôi một chút không?
底下,dǐxia,danh từ,Phía dưới,桌子底下有一个笔。,Zhuōzi dǐxia yǒu yīgè bǐ,Dưới bàn có một cây bút.
地区,dìqū,danh từ,"Khu vực, vùng",这个地区冬天很冷。,Zhège dìqū dōngtiān hěn lěng,Khu vực này mùa đông rất lạnh.
电视剧,diànshìjù,danh từ,Phim truyền hình,她喜欢看韩国电视剧。,Tā xǐhuān kàn Hánguó diànshìjù,Cô ấy thích xem phim truyền hình Hàn Quốc.
电视台,diànshìtái,danh từ,Đài truyền hình,我爸爸在电视台工作。,Wǒ bàba zài diànshìtái gōngzuò,Ba tôi làm việc ở đài truyền hình.
电台,diàntái,danh từ,Đài phát thanh,这个电台的节目很有意思。,Zhège diàntái de jiémù hěn yǒuyìsi,Chương trình của đài phát thanh này rất thú vị.
电子邮件,diànzǐ yóujià,danh từ,Thư điện tử,我给你发了一封电子邮件。,Wǒ gěi nǐ fā le yì fēng diànzǐ yóujià,Tôi đã gửi cho bạn một email.
调,diào,động từ,"Điều chỉnh, đổi",他是新调来的学生。,Tā shì xīn diào lái de xuéshēng,Bạn ấy là học sinh mới chuyển đến.
调查,diàochá,động từ,"Điều tra, khảo sát",他们正在调查这个问题。,Tāmen zhèngzài diàochá zhège w,Họ đang điều tra về vấn đề này.
订,dìng,động từ,"Đặt (mua, vé)",我已经订了两个机票。,Wǒ yǐjīng dìng le liǎng gè jīpiào,Tôi đã đặt hai vé máy bay.
定期,dìngqī,trạng từ,Định kỳ,医生让我定期检查身体。,Yīshēng ràng wǒ dìngqī jiǎnchá sh,Bác sĩ bảo tôi kiểm tra sức khỏe định kỳ.
东部,dōngbù,danh từ,Miền đông,我家在中国的东部。,Wǒ jiā zài Zhōngguó de dōngbù,Nhà tôi ở miền Đông Trung Quốc.
动力,dònglì,danh từ,Động lực,家人是我最大的动力。,Jiārén shì wǒ zuì dà de dònglì,Gia đình là động lực lớn nhất của tôi.
动人,dòngrén,tính từ,Cảm động,这部电影很动人。,Zhè bù diànyǐng hěn dòngrén,Bộ phim này rất cảm động.
读者,dúzhě,danh từ,Độc giả,她是这本书的忠实读者。,Tā shì zhè běn shū de zhōngshí dú,Cô ấy là độc giả trung thành của cuốn sách này.
短处,duǎnchù,danh từ,Điểm yếu,她的短处是太着急。,Tā de duǎnchù shì tài zháojí,Khuyết điểm của cô ấy chính là quá nóng vội.
短裤,duǎnkù,danh từ,Quần short,夏天我常穿短裤。,Xiàtiān wǒ cháng chuān duǎnkù,Vào mùa hè tôi thường mặc quần short.
短期,duǎnqī,danh từ,Ngắn hạn,这是一个短期目标。,Zhè shì yīgè duǎnqī mùbiāo,Đây là mục tiêu ngắn hạn.
断,duàn,động từ,"Đứt, ngắt",听说今天断电。,Tīng shuō jīntiān duàn diàn,Nghe nói hôm nay cúp điện.
队员,duìyuán,danh từ,Thành viên trong đội,他是篮球队的队员。,Tā shì lánqiú duì de duìyuán,Anh ấy là thành viên của đội bóng rổ.
对待,duìdài,động từ,Đối xử,她总是友好地对待别人。,Tā zǒng shì yǒuhǎo de duìdài biér,Thầy giáo đối xử công bằng với mỗi học sinh.
对方,duìfāng,danh từ,Đối phương,他不想伤害对方。,Tā bù xiǎng shānghài duìfāng,Anh ấy không muốn làm tổn thương đối phương.
对手,duìshǒu,danh từ,Đối thủ,他是我踢足球比赛中的强大对手。,Tā shì wǒ tī zúqiú bǐsài zhōng de q,"Trong trận đấu bóng rổ, anh ấy là đối thủ mạnh nhất của"
对象,duìxiàng,danh từ,Đối tượng,他今年30岁了，但是他还没有对象呢,"Tā jīnnián 30 suì le, dànshì tā hái","Năm nay anh ấy 30 tuổi rồi, nhưng anh ấy vẫn chưa có n"
顿,dùn,lượng từ,Bữa; phần,他一天吃三顿饭。,Tā yì tiān chī sān dùn fàn,Anh ấy ăn ba bữa mỗi ngày.
发表,fābiǎo,động từ,"Bày tỏ, đưa ra, phát biểu",他在会上发表了意见。,Tā zài huì shàng fābiǎo le yìjiàn,Anh ấy đã phát biểu ý kiến trong cuộc họp.
