Giới từ 跟 và 给,2,Cùng ai / Cho ai làm gì. Cấu trúc: 跟/给 + Đối tượng + V,1. 我每个星期给妈妈打电话。2. 他明天跟我去超市。3. 老师给我们介绍新朋友。,1. Wǒ měi gè xīngqī gěi māma dǎ diànhuà.2. Tā míngtiān gēn wǒ qù chāoshì.3. Lǎoshī gěi wǒmen jièshào xīn péngyou.,1. Mỗi tuần tôi đều gọi cho mẹ.2. Mai anh ấy đi siêu thị với tôi.3. Cô giáo giới thiệu bạn mới cho chúng tôi.
有点儿 và 一点儿,2,"So sánh mức độ ""một chút"". Cấu trúc: 有点儿+Adj / Adj+一点儿",1. 汉字有点儿难。2. 昨天天气有点儿冷。3. 可以便宜一点儿吗？,1. Hànzì yǒudiǎnr nán.2. Zuótiān tiānqì yǒudiǎnr lěng.3. Kěyǐ piányi yìdiǎnr ma?,1. Chữ Hán hơi khó.2. Hôm qua thời tiết hơi lạnh.3. Có thể rẻ một chút không?
Phủ định quá khứ,2,Việc chưa/không xảy ra trong quá khứ. Cấu trúc: 没(有) + V,1. 昨天我没打球。2. 今天他没吃早饭。3. 我没有看那个电影。,1. Zuótiān wǒ méi dǎ qiú.2. Jīntiān tā méi chī zǎofàn.3. Wǒ méiyǒu kàn nàge diànyǐng.,1. Hôm qua tôi không chơi bóng.2. Hôm nay anh ấy không ăn sáng.3. Tôi không có xem phim đó.
Trợ từ 了 hoàn thành,2,Xác nhận việc đã xảy ra/hoàn thành. Cấu trúc: V + (O) + 了,1. 昨天我买衣服了。2. 他去医院看病了。3. 你吃饭了吗？,1. Zuótiān wǒ mǎi yīfu le.2. Tā qù yīyuàn kàn bìng le.3. Nǐ chī fàn le ma?,1. Hôm qua tôi mua quần áo rồi.2. Anh ấy đi viện khám bệnh rồi.3. Bạn ăn cơm chưa?
Câu vị ngữ chủ vị,2,Miêu tả chi tiết bộ phận của chủ ngữ. Cấu trúc: S lớn + (S nhỏ + V/Adj),1. 那个博物馆东西很多。2. 这个饭店菜很好吃。3. 那个女孩眼睛很大。,1. Nàge bówùguǎn dōngxi hěn duō.2. Zhège fàndiàn cài hěn hǎochī.3. Nàge nǚhái yǎnjing hěn dà.,1. Bảo tàng đó đồ vật rất nhiều.2. Quán ăn này thức ăn rất ngon.3. Cô gái kia mắt rất to.
Câu nhấn mạnh 是...的,2,Nhấn mạnh chi tiết việc ĐÃ xảy ra. Cấu trúc: 是 + [Chi tiết] + V + 的,1. 这张照片是在哪儿拍的？2. 你是几点来学校的？3. 我们是坐地铁去的。,1. Zhè zhāng zhàopiàn shì zài nǎr pāi de?2. Nǐ shì jǐ diǎn lái xuéxiào de?3. Wǒmen shì zuò dìtiě qù de.,1. Bức ảnh này chụp ở đâu vậy?2. Bạn đến trường lúc mấy giờ?3. Chúng tôi đi bằng tàu điện ngầm.
Động từ năng nguyện 2,2,Kỹ năng có được qua học tập. Cấu trúc: 会 + V,1. 我会唱中文歌。2. 他会游泳。3. 妈妈会做中国菜。,1. Wǒ huì chàng Zhōngwén gē.2. Tā huì yóuyǒng.3. Māma huì zuò Zhōngguócài.,1. Tôi biết hát bài hát tiếng Trung.2. Anh ấy biết bơi.3. Mẹ biết làm món ăn Trung Quốc.
"Cấu trúc Ngoài ra, còn...",2,Bổ sung thông tin cùng loại. Cấu trúc: 除了+A+以外，还+B,1. 除了英语以外，你还会说日语吗？2. 除了看书，他还喜欢看电影。3. 除了苹果，我还买了香蕉。,"1. Chúle Yīngyǔ yǐwài, nǐ hái huì shuō Rìyǔ ma?2. Chúle kàn shū, tā hái xǐhuan kàn diànyǐng.3. Chúle Píngguǒ, wǒ hái mǎi le xiāngjiāo.","1. Ngoài tiếng Anh, bạn còn biết tiếng Nhật không?2. Ngoài đọc sách, anh ấy còn thích xem phim.3. Ngoài táo, tôi còn mua chuối."
Trợ từ 过 trải nghiệm,2,Trải nghiệm từng có trong quá khứ. Cấu trúc: V + 过,1. 你去过长城吗？2. 我吃过北京烤鸭。3. 他没看过那个电影。,1. Nǐ qùguo Chángchéng ma?2. Wǒ chīguo Běijīng kǎoyā.3. Tā méi kànguo nàge diànyǐng.,1. Bạn từng đi Trường Thành chưa?2. Tôi từng ăn vịt quay Bắc Kinh.3. Anh ấy chưa từng xem phim đó.
Câu chữ 有 / 是 (Tồn tại),3,Miêu tả sự vật tồn tại cụ thể/không cụ thể. Cấu trúc: Nơi chốn + 有/是 + Vật,1. 我家旁边有一个银行。2. 超市对面是学校。3. 桌子上有一本书。,1. Wǒ jiā pángbiān yǒu yí gè yínháng.2. Chāoshì duìmiàn shì xuéxiào.3. Zhuōzi shang yǒu yì běn shū.,1. Cạnh nhà tôi có một ngân hàng.2. Đối diện siêu thị là trường học.3. Trên bàn có một cuốn sách.
Động từ lặp lại,3,"Hành động thử, diễn ra nhanh. Cấu trúc: V 一 V / VV",1. 这是什么？我看看。2. 那个菜很好吃，你尝尝。3. 休息休息吧。,"1. Zhè shì shénme? Wǒ kànkan.2. Nàge cài hěn hǎochī, nǐ chángchang.3. Xiūxi xiūxi ba.","1. Đây là gì? Để tôi xem thử.2. Món đó ngon lắm, bạn nếm thử đi.3. Nghỉ ngơi một chút đi."
Động từ năng nguyện 3,3,"Sự cần thiết, bắt buộc. Cấu trúc: 应该/得/不能 + V",1. 我得去教室上课了。2. 你病了，应该休息。3. 这里不能抽烟。,"1. Wǒ děi qù jiàoshì shàng kè le.2. Nǐ bìng le, yīnggāi xiūxi.3. Zhèlǐ bù néng chōuyān.","1. Tôi phải đến lớp học rồi.2. Bạn ốm rồi, nên nghỉ ngơi.3. Ở đây không được hút thuốc."
Bổ ngữ động lượng,3,Số lần diễn ra hành động. Cấu trúc: V + Số từ + 次/遍/下,1. 我们每天见两次面。2. 请再说一遍。3. 我去过三次北京。,1. Wǒmen měi tiān jiàn liǎng cì miàn.2. Qǐng zài shuō yí biàn.3. Wǒ qùguo sān cì Běijīng.,1. Mỗi ngày chúng tôi gặp 2 lần.2. Xin hãy nói lại một lần nữa.3. Tôi từng đi Bắc Kinh 3 lần.
Cụm V/C-V làm định ngữ,3,Cụm động từ/chủ vị bổ nghĩa danh từ. Cấu trúc: Cụm V/C-V + 的 + Danh từ,1. 这是我买的衣服。2. 他是刚来的老师。3. 昨天看的电影很好看。,1. Zhè shì wǒ mǎi de yīfu.2. Tā shì gāng lái de lǎoshī.3. Zuótiān kàn de diànyǐng hěn hǎokàn.,1. Đây là đồ tôi mua.2. Anh ấy là giáo viên mới đến.3. Phim hôm qua xem rất hay.
Câu kiêm ngữ,3,"Câu sai khiến, nhờ vả. Cấu trúc: S + 请/叫/让 + O + V2",1. 爸爸叫我马上回家。2. 医生让我多喝水。3. 我请他吃饭。,1. Bàba jiào wǒ mǎshàng huí jiā.2. Yīshēng ràng wǒ duō hē shuǐ.3. Wǒ qǐng tā chī fàn.,1. Bố bảo tôi về nhà ngay.2. Bác sĩ bảo tôi uống nhiều nước.3. Tôi mời anh ấy ăn cơm.
Câu hỏi 是不是,3,Dùng để xác nhận phán đoán. Cấu trúc: S + 是不是 + V/Adj,1. 你们是不是想休息一下？2. 他是不是生病了？3. 明天是不是会下雨？,1. Nǐmen shì bu shì xiǎng xiūxi yíxià?2. Tā shì bu shì shēngbìng le?3. Míngtiān shì bu shì huì xià yǔ?,1. Các bạn có phải là muốn nghỉ không?2. Có phải anh ấy ốm rồi không?3. Ngày mai có phải sẽ mưa không?
Trợ từ 了 (sự thay đổi),3,Tình trạng mới xuất hiện. Cấu trúc: Tình trạng + 了,1. 现在贵了。2. 下雨了。3. 他胖了。,1. Xiànzài guì le.2. Xià yǔ le.3. Tā pàng le.,1. Bây giờ đắt rồi.2. Mưa rồi.3. Anh ấy béo lên rồi.
Cấu trúc 要...了,3,Hành động sắp diễn ra. Cấu trúc: 要/快要/马上要 + V + 了,1. 马上要上课了。2. 电影快要开始了。3. 要下雨了。,1. Mǎshàng yào shàng kè le.2. Diànyǐng kuàiyào kāishǐ le.3. Yào xià yǔ le.,1. Sắp vào lớp rồi.2. Phim sắp bắt đầu rồi.3. Sắp mưa rồi.
Bổ ngữ trạng thái 得 (de),3,Đánh giá chất lượng hành động. Cấu trúc: V/Adj + 得 + (很) + Đánh giá,1. 他每天吃得很多。2. 她汉语说得很好。3. 你跑得快不快？,1. Tā měi tiān chī de hěn duō.2. Tā Hànyǔ shuō de hěn hǎo.3. Nǐ pǎo de kuài bu kuài?,1. Mỗi ngày anh ấy ăn rất nhiều.2. Cô ấy nói tiếng Hán rất tốt.3. Bạn chạy có nhanh không?
Tính từ lặp lại,3,"Miêu tả sinh động, nhấn mạnh. Cấu trúc: AA / AABB",1. 皮肤白白的。2. 头发长长的。3. 漂漂亮亮的衣服。,1. Pífū báibái de.2. Tóufa chángcháng de.3. Piàopiàoliàngliàng de yīfu.,1. Làn da trắng trắng.2. Mái tóc dài dài.3. Bộ quần áo xinh đẹp.
Động từ xu hướng 来/去,3,Phương hướng hành động tới/lui. Cấu trúc: V + 来/去,1. 我们进去吧。2. 他出来了。3. 请你过来。,1. Wǒmen jìnqu ba.2. Tā chūlai le.3. Qǐng nǐ guòlai.,1. Chúng ta đi vào thôi.2. Anh ấy đi ra rồi.3. Xin mời bạn qua đây.
Câu hai tân ngữ,3,Động từ mang 2 đối tượng nhận. Cấu trúc: V + Người + Vật,1. 他送我一把二胡。2. 老师教我们汉语。3. 我问他一个问题。,1. Tā sòng wǒ yì bǎ èrhú.2. Lǎoshī jiāo wǒmen Hànyǔ.3. Wǒ wèn tā yí gè wèntí.,1. Anh ấy tặng tôi một cây đàn nhị.2. Thầy giáo dạy chúng tôi tiếng Hán.3. Tôi hỏi anh ấy một câu hỏi.
Tính từ làm định ngữ,3,Tính từ (song âm) bổ nghĩa danh từ. Cấu trúc: Tính từ(2) + 的 + Danh từ,1. 漂亮的女老师。2. 聪明可爱的孩子。3. 新的手机。,1. Piàoliang de nǚ lǎoshī.2. Cōngming kě'ài de háizi.3. Xīn de shǒujī.,1. Cô giáo nữ xinh đẹp.2. Đứa trẻ thông minh đáng yêu.3. Điện thoại mới.
Câu so sánh 比 (bǐ),3,So sánh hơn 2 đối tượng. Cấu trúc: A + 比 + B + Tính từ,1. 他比我高。2. 今天比昨天冷。3. 这件衣服比那件贵。,1. Tā bǐ wǒ gāo.2. Jīntiān bǐ zuótiān lěng.3. Zhè jiàn yīfu bǐ nà jiàn guì.,1. Anh ấy cao hơn tôi.2. Hôm nay lạnh hơn hôm qua.3. Áo này đắt hơn áo kia.
So sánh bằng (一样),3,So sánh sự giống nhau. Cấu trúc: A + 跟 + B + 一样 + (Adj),1. 弟弟跟欧文一样帅。2. 今天跟昨天一样冷。3. 我的手机跟你的一样。,1. Dìdi gēn Ōuwén yíyàng shuài.2. Jīntiān gēn zuótiān yíyàng lěng.3. Wǒ de shǒujī gēn nǐ de yíyàng.,1. Em trai đẹp trai như Owen.2. Hôm nay lạnh như hôm qua.3. Điện thoại của tôi giống của bạn.
Bổ ngữ thời lượng,4,Khoảng thời gian kéo dài hành động. Cấu trúc: V + Khoảng thời gian,1. 我们每天工作八个小时。2. 他学了三年汉语。3. 我等了半天。,1. Wǒmen měi tiān gōngzuò bā gè xiǎoshí.2. Tā xué le sān nián Hànyǔ.3. Wǒ děng le bàntiān.,1. Mỗi ngày chúng tôi làm việc 8 tiếng.2. Anh ấy đã học tiếng Hán 3 năm.3. Tôi đợi nửa ngày rồi.
Trạng ngữ 地 (de),4,Miêu tả cách thức hành động. Cấu trúc: Trạng ngữ/Tính từ + 地 + V,1. 他热情地请我喝茶。2. 学生认真地听课。3. 她高兴地说。,1. Tā rèqíng de qǐng wǒ hē chá.2. Xuéshēng rènzhēn de tīng kè.3. Tā gāoxìng de shuō.,1. Anh ấy nhiệt tình mời tôi uống trà.2. Học sinh chăm chỉ nghe giảng.3. Cô ấy vui vẻ nói.
Bổ ngữ kết quả 1,4,"Kết quả sinh ra sau hành động. Cấu trúc: V + (完, 好, 错, 懂...)",1. 我看完了。2. 他写错了一个字。3. 你听懂了吗？,1. Wǒ kàn wán le.2. Tā xiě cuò le yí gè zì.3. Nǐ tīng dǒng le ma?,1. Tôi đọc xong rồi.2. Anh ấy viết sai một chữ.3. Bạn nghe hiểu chưa?
Phủ định Bổ ngữ kết quả,4,Khẳng định việc không tạo ra kết quả. Cấu trúc: 没 + V + Kết quả,1. 我没听懂。2. 他没做完作业。3. 我们没看见他。,1. Wǒ méi tīng dǒng.2. Tā méi zuò wán zuòyè.3. Wǒmen méi kànjiàn tā.,1. Tôi không nghe hiểu.2. Anh ấy chưa làm xong bài tập.3. Chúng tôi không nhìn thấy anh ấy.
Bổ ngữ xu hướng phức,4,Hướng dịch chuyển trong không gian. Cấu trúc: V + (进/出/上/下) + 来/去,1. 他走进了教室。2. 他拿出一本书来。3. 请跑回去。,1. Tā zǒu jìn le jiàoshì.2. Tā ná chū yì běn shū lái.3. Qǐng pǎo huí qu.,1. Anh ấy đi vào phòng học.2. Anh ấy lấy ra một cuốn sách.3. Hãy chạy về đi.
Bổ ngữ kết quả 2 (Địa điểm),4,Gắn với Nơi chốn hoặc Người nhận. Cấu trúc: V + 到/给/在,1. 电脑放在桌子上。2. 学到晚上十二点。3. 这本书送给你。,1. Diànnǎo fàng zài zhuōzi shang.2. Xué dào wǎnshang shí'èr diǎn.3. Zhè běn shū sòng gěi nǐ.,1. Máy tính đặt trên bàn.2. Học đến 12 giờ đêm.3. Cuốn sách này tặng cho bạn.
Bổ ngữ khả năng (得/不),4,Khả năng làm được / không. Cấu trúc: V + 得/不 + Kết quả,1. 我听不懂。2. 那个东西买不到。3. 看得清楚吗？,1. Wǒ tīng bu dǒng.2. Nàge dōngxi mǎi bu dào.3. Kàn de qīngchu ma?,1. Tôi nghe không hiểu.2. Đồ vật đó không mua được.3. Nhìn có rõ không?
Trợ từ động thái 着 (zhe),4,Trạng thái tĩnh đang duy trì. Cấu trúc: V + 着,1. 门开着。2. 他穿着红色的衣服。3. 墙上挂着一张照片。,1. Mén kāi zhe.2. Tā chuān zhe hóngsè de yīfu.3. Qiáng shang guà zhe yì zhāng zhàopiàn.,1. Cửa đang mở.2. Anh ấy đang mặc bộ đồ màu đỏ.3. Trên tường đang treo một bức ảnh.
Câu phản vấn 怎么 (zěnme),4,Nhấn mạnh ý phản bác. Cấu trúc: 怎么 + ... + 呢？,1. 怎么会高兴呢？2. 我怎么知道？3. 这怎么可能？,1. Zěnme huì gāoxìng ne?2. Wǒ zěnme zhīdào?3. Zhè zěnme kěnéng?,1. Sao mà vui được cơ chứ?2. Sao tôi biết được?3. Việc này sao có thể chứ?
Câu chữ 把 1 (Trạng thái),4,Xử lý đồ vật đổi trạng thái. Cấu trúc: S + 把 + O + V + Kết quả,1. 请把门打开。2. 他把药吃了。3. 别把手机弄坏了。,1. Qǐng bǎ mén dǎ kāi.2. Tā bǎ yào chī le.3. Bié bǎ shǒujī nòng huài le.,1. Xin hãy mở cửa ra.2. Anh ấy uống thuốc rồi.3. Đừng làm hỏng điện thoại.
Câu chữ 把 2 (Vị trí),4,Xử lý vật đổi vị trí. Cấu trúc: S + 把 + O + V + 在/到,1. 他把电脑放在包里了。2. 请把车开到学校去。3. 请把书放在桌子上。,1. Tā bǎ diànnǎo fàng zài bāo lǐ le.2. Qǐng bǎ chē kāi dào xuéxiào qù.3. Qǐng bǎ shū fàng zài zhuōzi shang.,1. Anh ấy cất máy tính vào túi.2. Xin hãy lái xe tới trường.3. Xin hãy đặt sách lên bàn.
Câu bị động 被 (bèi),4,Chịu tác động từ bên ngoài. Cấu trúc: S (bị hại) + 被/让/叫 + Tác nhân + V,1. 钱包被偷了。2. 杯子被弟弟打破了。3. 他被老师批评了。,1. Qiánbāo bèi tōu le.2. Bēizi bèi dìdi dǎ pò le.3. Tā bèi lǎoshī pīpíng le.,1. Ví bị trộm rồi.2. Cốc bị em trai đánh vỡ rồi.3. Anh ấy bị thầy giáo phê bình rồi.
