啊,a,Thán từ,"A, à",你来了啊！,Nǐ lái le ā,Bạn đến rồi à!
不但,búdàn,Liên từ,"Không những, không chỉ",她不但会唱歌，还会跳舞。,"Tā búdàn huì chànggē, hái huì tiàowǔ","Cô ấy không chỉ biết hát, mà còn biết nhảy."
不够,búgòu,Động từ,Không đủ,他的态度不够认真。,Tā de tàidù bùgòu rènzhēn,Thái độ của anh ấy chưa đủ nghiêm túc.
不过,búguò,Liên từ,"Nhưng, tuy nhiên",这件衣服很好看，不过太贵了。,"Zhè jiàn yīfu hěn hǎokàn, búguò tài guì le","Bộ quần áo này rất đẹp, nhưng mà nó mắc quá."
不太,bú tài,Phó từ,"Không quá, không lắm",我的英语不太好。,Wǒ de yīngyǔ bù tài hǎo,Tiếng Anh của tôi không tốt lắm.
不要,búyào,Động từ/ Trợ động từ,"Đừng, không được",不要在教室里大声说话。,Búyào zài jiàoshìli dàshēng shuōhuà,Đừng nói chuyện lớn tiếng trong lớp học.
不好意思,bù hǎoyìsi,Cụm từ,"Ngại, xấu hổ",我迟到了，真不好意思。,"Wǒ chídào le, zhēn bù hǎoyìsi","Tôi đến muộn rồi, thật ngại quá."
不久,bùjiǔ,Trạng từ,"Không lâu, chẳng bao lâu",我们不久就会再见面。,Wǒmen bùjiǔ jiù huì zài jiànmiàn,Chúng ta sẽ sớm gặp lại nhau.
不满,bùmǎn,Động từ,"Bất mãn, không hài lòng",她对服务态度不满。,Tā duì fúwù tàidù bùmǎn,Cô ấy không hài lòng với thái độ phục vụ.
不如,bùrú,Động từ Liên từ,"Không bằng chi bằng, thà rằng",我的中文不如他的好。 与其看电视，不如读一本好书。,"Tā de zhōngwén bùrú wǒ de hǎo/ /Yǔqí kàn diànshì, bùrú dú yì běn hǎo shū","Tiếng Trung của anh ấy không giỏi bằng tôi. Thay vì xem tivi, chi bằng đọc một quyển sách hay."
不少,bù shǎo,Tính từ,Không ít,他有不少中国朋友。,Tā yǒu bù shǎo Zhōngguó péngyou,Anh ấy có khá nhiều bạn người Trung Quốc.
不同,bù tóng,Tính từ,"Không giống, khác nhau",我们的想法不同。,Wǒmen de xiǎngfǎ bù tóng,Suy nghĩ của chúng tôi không giống nhau.
不行,bùxíng,Động từ,"Không được, không ổn",这样做不行。,Zhèyàng zuò bùxíng,Làm như vậy không được đâu.
不一定,bùyídìng,Phó từ,"Không nhất định, chưa chắc",他不一定会来。,Tā bù yídìng huìlái,Anh ấy chưa chắc sẽ đến.
不一会儿,bù yíhuìr,Cụm từ,"Chẳng bao lâu, không lâu sau",我刚给他发短信，不一会儿他就回复了。,"Wǒ gāng gěi tā fā duǎnxìn, bù yíhuìr tā jiù huífù le","Tôi vừa nhắn tin cho anh ấy, chẳng bao lâu sau anh ấy đã trả lời."
部分,bùfen,Danh từ,"Phần, bộ phận",这本书的第一部分很有趣。,Zhè běn shū de dì yī bùfèn hěn yǒuqù,Phần đầu của quyển sách này rất thú vị.
才,cái,Trạng từ,"Mới, vừa mới",他昨天才回来。,Tā zuótiān cái huílái,Anh ấy mới về hôm qua.
菜单,càidān,Danh từ,Thực đơn,请给我菜单。,Qǐng gěi wǒ càidān,Xin vui lòng đưa cho tôi thực đơn.
参观,cānguān,Động từ,Tham quan,我们明天去博物馆参观。,Wǒmen míngtiān qù bówùguǎn cānguān,Ngày mai chúng tôi sẽ đi tham quan bảo tàng.
参加,cānjiā,Động từ,Tham gia,今天我们一起参加游泳比赛。,Jīntiān wǒmen yìqǐ cānjiā yóuyǒng bǐsài,Hôm nay chúng tôi cùng nhau tham gia một cuộc thi bơi lội.
草,cǎo,Danh từ,Cỏ,牛喜欢吃草。,Niú xǐhuan chī cǎo,Con bò thích ăn cỏ.
草地,cǎodì,Danh từ,Bãi cỏ,孩子们在草地上玩耍。,Háizimen zài cǎodì shàng wánshuǎ,Bọn trẻ đang chơi trên bãi cỏ.
层,céng,Danh từ,Tầng (lầu),我住在第五层。,Wǒ zhù zài dì wǔ céng,Tôi sống ở tầng năm.
查,chá,Động từ,"Tra cứu, kiểm tra",请查一下这个单词的意思。,Qǐng chá yíxià zhège dāncí de yìsi,Hãy tra nghĩa của từ này.
差不多,chàbuduō,Trạng từ,"Gần như, xấp xỉ",这两个城市的天气差不多。,Zhè liǎng gè chéngshì de tiānqì chàbuduō,Thời tiết của hai thành phố này gần như giống nhau.
长,cháng,Tính từ,Dài,这条裤子很长。,Zhè tiáo kùzi hěn cháng,Cái quần này rất dài.
常见,chángjiàn,Tính từ,Thường thấy,这种花在公园里很常见。,Zhè zhǒng huā zài gōngyuánli hěn chángjiàn,Loài hoa này rất thường thấy trong công viên.
常用,chángyòng,Tính từ,Thường dùng,这是一本常用的词典。,Zhè shì yì běn chángyòng de cídiǎn,Đây là một cuốn từ điển thông dụng.
场,chǎng,Danh từ,"Sân, bãi",我们在体育场看比赛。,Wǒmen zài tǐyùchǎng kàn bǐsài,Chúng tôi xem trận đấu ở sân vận động.
超过,chāoguò,Động từ,Vượt qua,他的身高超过了一米八。,Tā de shēngāo chāoguò le yī mǐ bā,Chiều cao của anh ấy vượt quá 1m8.
超市,chāoshì,Danh từ,Siêu thị,我去超市买点水果。,Wǒ qù chāoshì mǎi diǎn shuǐguǒ,Tôi đi siêu thị mua ít trái cây.
车辆,chēliàng,Danh từ,Xe cộ,路上的车辆很多。,Lù shàng de chēliàng hěn duō.,Xe cộ trên đường rất nhiều.
称（动）,chēng,Động từ,"Gọi là, xưng là",他被称为最优秀的医生。,Tā bèi chēng wéi zuì yōuxiù de yīshēng,Anh ấy được gọi là bác sĩ xuất sắc nhất.
成（动）,chéng,Động từ,Trở thành,他希望将来能成为一名医生。,Tā xīwàng jiānglái néng chéngwéi yì míng yīshēng,Anh ấy hy vọng tương lai có thể trở thành bác sĩ.
成绩,chéngjì,Danh từ,Thành tích,他这次考试成绩很好。,Tā zhè cì kǎoshì chéngjì hěn hǎo,Thành tích kỳ thi lần này của anh ấy rất tốt.
成为,chéngwéi,Động từ,Trở thành,她已经成为了一名老师。,Tā yǐjīng chéngwéile yì míng lǎoshī,Cô ấy đã trở thành một giáo viên.
重复,chóngfù,Động từ,Lặp lại,请不要重复我的问题。,Qǐng búyào chóngfù wǒ de wèntí,Vui lòng đừng lặp lại câu hỏi của tôi.
重新,chóngxīn,Trạng từ,Làm lại từ đầu,他决定重新开始。,Tā juédìng chóngxīn kāishǐ,Anh ấy quyết định bắt đầu lại từ đầu.
出发,chūfā,Động từ,Xuất phát,我们早上八点出发。,Wǒmen zǎoshang bā diǎn chūfā,Chúng tôi xuất phát lúc 8 giờ sáng.
出国,chūguó,Động từ,Ra nước ngoài,他明年要出国留学。,Tā míngnián yào chūguó liúxué,Năm sau anh ấy sẽ đi du học nước ngoài.
出口,chūkǒu,Danh từ,Lối ra,这个商场的出口在哪里？,Zhège shāngchǎng de chūkǒu zài nǎli?,Lối ra của trung tâm thương mại này ở đâu?
出门,chūmén,Động từ,Ra ngoài,我今天早上七点出门。,Wǒ jīntiān zǎoshang qī diǎn chūmén,Sáng nay tôi ra ngoài lúc 7 giờ.
出生,chūshēng,Động từ,Sinh ra,他出生于北京。,Tā chūshēng yú Běijīng,Anh ấy sinh ra ở Bắc Kinh.
出现,chūxiàn,Động từ,Xuất hiện,天空中出现了一道彩虹。,Tiānkōng zhōng chūxiànle yí dào cǎihóng,Trên bầu trời xuất hiện một cầu vồng.
出院,chūyuàn,Động từ,Xuất viện,奶奶明天就能出院了。,Nǎinai míngtiān jiù néng chūyuàn le.,Ngày mai bà có thể xuất viện rồi.
出租,chūzū,Động từ,Cho thuê,这套房子正在出租。,Zhè tào fángzi zhèngzài chūzū,Căn nhà này đang cho thuê.
出租车,chūzūchē,Danh từ,Xe taxi,他坐出租车去机场。,Tā zuò chūzūchē qù jīchǎng,Anh ấy ngồi taxi đến sân bay.
船,chuán,Danh từ,Thuyền,我喜欢坐船。,Wǒ xǐhuan zuò chuán,Tôi thích ngồi thuyền.
吹,chuī,Động từ,Thổi,风吹得很大。,Fēng chuī de hěn dà,Gió thổi rất mạnh.
春节,Chūnjié,Danh từ,Tết nguyên đán,春节是中国最重要的节日。,Chūnjié shì Zhōngguó zuì zhòngyào de jiérì.,Tết Nguyên Đán là ngày lễ quan trọng nhất của Trung Quốc.
春天,chūntiān,Danh từ,Mùa xuân,春天来了，花都开了。,"Chūntiān lái le, huā dōu kāi le","Mùa xuân đến rồi, hoa đều nở."
词,cí,Danh từ,"Từ, lời, lời văn",这个词是什么意思？,Zhège cí shì shénme yìsi?,Từ này có nghĩa gì?
词典,cídiǎn,Danh từ,Từ điển,这是一本汉越词典。,Zhè shì yì běn Hàn Yuè cídiǎn,Đây là quyển từ điển Hán – Việt.
词语,cíyǔ,Danh từ,Từ ngữ,这个词语的意思是什么？,Zhège cíyǔ de yìsi shì shénme?,Nghĩa của từ này là gì?
从小,cóngxiǎo,Trạng từ,Từ nhỏ,我从小就喜欢画画。,Wǒ cóngxiǎo jiù xǐhuan huàhuà,Tôi thích vẽ tranh từ nhỏ.
答应,dāyìng,Động từ,"Đồng ý, hứa",他答应了。,Tā dāyìng le,Anh ấy đã đồng ý rồi.
打工,dǎgōng,Động từ,Làm việc (bán thời gian),他在一家咖啡店打工。,Tā zài yìjiā kāfēidiàn dǎgōng,Anh ấy làm việc bán thời gian ở một quán cà phê.
打算,dǎsuàn,Động từ,"Dự định, kế hoạch",你打算什么时候去中国？,Nǐ dǎsuàn shénme shíhòu qù Zhōngguó,Bạn dự định khi nào đi Trung Quốc?
打印,dǎyìn,Động từ,In ấn,请帮我打印这份文件。,Qǐng bāng wǒ dǎyìn zhè fèn wénjiàn,Xin hãy giúp tôi in tài liệu này.
大部分,dà bù fèn,Danh từ,"Phần lớn, đa số",大部分学生都完成了作业。,Dà bù fèn xuéshēng dōu wánchéng le zuòyè,Phần lớn học sinh đã hoàn thành bài tập về nhà.
大大,dà dà,Phó từ,"Rất, cực kỳ",她有一双大大的眼睛，很可爱。,Tā de jìnbù dàdà,Bé có đôi mắt to và rất dễ thương.
大海,dàhǎi,Danh từ,"Đại dương, biển lớn",这片大海真美。,Zhè piàn dàhǎi zhēn měi,Biển này đẹp thật.
大多数,dàduōshù,Danh từ,"Đại đa số, phần lớn",大多数人都喜欢吃甜食。,Dàduōshù rén dōu xǐhuan chī tiánshí,Phần lớn mọi người đều thích ăn đồ ngọt.
大家,dàjiā,Đại từ,Mọi người,大家好！欢迎来到我们的学校。,Dàjiā hǎo! Huānyíng lái dào wǒmen de xuéxiào,Xin chào mọi người! Chào mừng đến với trường của chúng tôi.
大量,dàliàng,Tính từ,Số lượng lớn,这家工厂需要大量的工人。,Zhè jiā gōngchǎng xūyào dàliàng de gōngrén,Nhà máy này cần một số lượng lớn công nhân.
大门,dàmén,Danh từ,Cổng lớn,学校的大门每天七点开门。,Xuéxiào de dàmén měitiān qī diǎn kāimén,Cổng trường mở lúc 7 giờ mỗi ngày.
大人,dàrén,Danh từ,Người lớn,小孩子应该听大人的话。,Xiǎo háizi yīnggāi tīng dàrén de huà,Trẻ con nên nghe lời người lớn.
大声,dàshēng,Tính từ,"Nói to, giọng to",请不要大声说话。,Qǐng búyào dàshēng shuōhuà,Xin đừng nói chuyện lớn tiếng.
大小,dàxiǎo,Danh từ,"Kích thước, lớn nhỏ",这双鞋的大小正合适。,Zhè shuāng xié de dàxiǎo zhèng héshì,Đôi giày này có kích thước vừa vặn.
大衣,dàyī,Danh từ,Áo khoác dài,冬天我会穿厚大衣。,Dōngtiān wǒ huì chuān hòu dàyī,Mùa đông tôi sẽ mặc áo khoác dày.
大自然,dàzìrán,Danh từ,Thiên nhiên,我们要保护大自然。,Wǒmen yào bǎohù dàzìrán,Chúng ta cần bảo vệ thiên nhiên.
带,dài,Động từ,"Mang, đem theo",请记得带雨伞。,Qǐng jìdé dài yǔsǎn,Xin nhớ mang theo ô.
带来,dàilái,Động từ,Mang đến,汉语给我带来了很多工作机会。,Hànyǔ gěi wǒ dài lái le hěnduō gōngzuò jīhuì,Tiếng Trung mang lại cho tôi rất nhiều cơ hội việc làm.
单位,dānwèi,Danh từ,Đơn vị (công tác),他的工作单位在市中心。,Tā de gōngzuò dānwèi zài shì zhōngxīn,Đơn vị công tác của anh ấy ở trung tâm thành phố.
但,dàn,Liên từ,Nhưng,我想去旅行，但是没有时间。,"Wǒ xiǎng qù lǚxíng, dànshì méiyǒu shíjiān","Tôi muốn đi du lịch, nhưng không có thời gian."
但是,dànshì,Liên từ,Nhưng mà,,,
蛋,dàn,Danh từ,Trứng,我喜欢吃鸡蛋。,Wǒ xǐhuan chī jīdàn,Tôi thích ăn trứng gà.
当,dāng,Động từ,Làm,他长大后想当医生。,Tā zhǎng dà hòu xiǎng dāng yīshēng,Lớn lên anh ấy muốn trở thành bác sĩ.
当时,dāngshí,Phó từ,"Lúc đó, thời điểm đó",当时我也没想那么多。,Dāngshí wǒ yě méi xiǎng nàme duō,"Lức đó, tôi cũng không có nghĩ nhiều đến vậy."
倒,dǎo,Động từ,"Ngã, đổ",风太大，把树都吹倒了。,"Fēng tài dà, bǎ shù dōu chuī dǎo le","Gió quá mạnh, làm cây đổ hết."
到处,dàochù,Trạng từ,Khắp nơi,公园里到处都是花。,Gōngyuánli dàochù dōu shì huā,"Trong công viên, hoa ở khắp nơi."
倒,dào,Động từ,"Ngã, đổ, lật đổ",火车到回去了。,Huǒchē dào huíqù le,Chuyến tàu đã quay trở lại.
道,dào,Danh từ,"Con đường, lối đi",这条道路很宽。,Zhè tiáo dàolù hěn kuān,Con đường này rất rộng.
道路,dàolù,Danh từ,,,,
道理,dàolǐ,Danh từ,"Đạo lý, lý lẽ",他说的话很有道理。,Tā shuō de huà hěn yǒu dàolǐ,Những lời anh ấy nói rất có lý.
得,dé,Động từ,"Được, đạt được",他得了第一名。,Tā dé le dì yī míng,Anh ấy đạt giải nhất.
得出,déchū,Động từ,Rút ra (kết luận),我们可以从实验中得出结论。,Wǒmen kěyǐ cóng shíyàn zhōng déchū jiélùn,Chúng ta có thể rút ra kết luận từ thí nghiệm.
的话,dehuà,Trợ từ,Nếu,如果有问题的话，请联系我。,"Rúguǒ yǒu wèntí dehuà, qǐng liánxì wǒ.","Nếu có vấn đề, xin hãy liên hệ với tôi."
得,de,Trợ từ,"Được, có thể, đến",他跑得很快。,Tā pǎo de hěn kuài,Anh ấy chạy rất nhanh.
灯,dēng,Danh từ,Đèn,教室里的灯开着呢。,Jiàoshìli de dēng kāi zhe ne,Đèn trong lớp vẫn còn bật.
等,děng,Trợ từ,Vân vân; v.v (liệt kê),我喜欢吃苹果、香蕉、橘子等等。,"Wǒ xǐhuan chī píngguǒ, xiāngjiāo, júzi děng děng","Tôi thích ăn táo, chuối, quýt, v.v."
等到,děngdào,Động từ,Đợi đến lúc,等到明天，我们再决定吧。,"Děngdào míngtiān, wǒmen zài juédìng ba","Đợi đến ngày mai, chúng ta hãy quyết định."
等于,děngyú,Động từ,"Bằng với, tương đương",二加二等于四。,Èr jiā èr děngyú sì,Hai cộng hai bằng bốn.
低,dī,Tính từ,Thấp,这里的温度很低。,Zhèli de wēndù hěn dī,Nhiệt độ ở đây rất thấp.
地球,dìqiú,Danh từ,Trái đất,地球是我们的家园。,Dìqiú shì wǒmen de jiāyuán,Trái đất là ngôi nhà của chúng ta.
地铁,dìtiě,Danh từ,Tàu điện ngầm,我每天坐地铁上班。,Wǒ měitiān zuò dìtiě shàngbān,Tôi đi làm bằng tàu điện ngầm mỗi ngày.
地铁站,dìtiězhàn,Danh từ,Ga tàu điện ngầm,最近的地铁站在哪里？,Zuìjìn de dìtiězhàn zài nǎli?,Ga tàu điện ngầm gần nhất ở đâu?
点头,diǎn tóu,Động từ,Gật đầu,她微笑着点头。,Tā wēixiào zhe diǎn tóu,Cô ấy mỉm cười và gật đầu.
店,diàn,Danh từ,Cửa hàng,这家店很有名。,Zhè jiā diàn hěn yǒumíng,Cửa hàng này rất nổi tiếng.
掉,diào,Động từ,"Rơi, rớt",我的手机掉了。,Wǒ de shǒujī diào le,Điện thoại của tôi bị rơi mất rồi.
东北,dōngběi,Danh từ,Đông bắc,他们都是东北人。,Tāmen dōu shì dōngběi rén,Họ đều người Đông Bắc.
东方,dōngfāng,Danh từ,"Phương đông, hướng đông",太阳从东方升起。,Tàiyáng cóng dōngfāng shēngqǐ,Mặt trời mọc từ hướng Đông.
东南,dōngnán,Danh từ,Đông nam,我家在东南方向。,Wǒ jiā zài dōngnán fāngxiàng,Nhà tôi ở hướng Đông Nam.
冬天,dōngtiān,Danh từ,Mùa đông,冬天很冷，你多穿点衣服。,"Dōngtiān hěn lěng, nǐ duō chuān diǎn yīfu","Mùa đông rất lạnh, bạn nên mặc nhiều quần áo vào."
懂,dǒng,Động từ,Hiểu,我不懂这是什么意思。,Wǒ bù dǒng zhè shì shénme yìsi,Tôi không hiểu cái này có ý nghĩa gì.
懂得,dǒngdé,Động từ,"Hiểu rõ, biết",她终于懂得怎么去珍惜时间。,Tā zhōngyú dǒngdé zěnme qù zhēnxī shíjiān,Cuối cùng cô ấy đã học được cách trân trọng thời gian.
动物,dòngwù,Danh từ,Động vật,你喜欢什么动物？,Nǐ xǐhuān shénme dòng wù,Bạn thích động vật nào?
动物园,dòngwùyuán,Danh từ,Sở thú,周末我们去动物园吧。,Zhōumò wǒmen qù dòngwùyuán ba,Cuối tuần chúng ta đi sở thú nhé.
读音,dúyīn,Danh từ,Cách phát âm,这个字的读音是什么？,Zhège zì de dúyīn shì shénme,Cách phát âm của chữ này là gì?
度,dù,Danh từ,"Độ, mức độ",今天气温三十度。,Jīntiān qìwēn sānshí dù,Hôm nay nhiệt độ là 30 độ.
短,duǎn,Tính từ,Ngắn,这条裤子太短了。,Zhè tiáo kùzi tài duǎn le,Chiếc quần này quá ngắn.
短信,duǎnxìn,Danh từ,Tin nhắn,你可以给我发短信。,Nǐ kěyǐ gěi wǒ fā duǎnxìn,Bạn có thể gửi tin nhắn cho tôi.
段,duàn,Danh từ,"Đoạn, khúc",请读这段话。,Qǐng dú zhè duàn huà,Vui lòng đọc đoạn văn này.
队,duì,Danh từ,"Đội, nhóm",他是我们队的成员。,Tā shì wǒmen duì de chéngyuán,Anh ấy là thành viên trong nhóm của chúng tôi.
队长,duìzhǎng,Danh từ,Đội trưởng,他是足球队的队长。,Tā shì zúqiú duì de duìzhǎng,Anh ấy là đội trưởng đội bóng đá.
对,duì,Giới từ,"Về, đối với",他对这个工作很有信心。,Tā duì zhège gōngzuò hěn yǒu xìnxīn,Anh ấy đối với công việc này rất có tự tin.
对话,duìhuà,Danh từ,Đối thoại,这些句子都是日常的对话。,Zhèxiē jùzǐ dōu shì rìcháng de duìhuà,Những câu này được lấy từ các cuộc trò chuyện hàng ngày.
对面,duìmiàn,Danh từ,Đối diện,银行在学校对面。,Yínháng zài xuéxiào duìmiàn,Ngân hàng ở đối diện trường học.
多,duō,Phó từ,"Nhiều, nhiều hơn",今天比昨天多了几个人。,Jīntiān bǐ zuótiān duō le jǐ gèrén,Hôm nay có nhiều người hơn hôm qua một chút.
多久,duōjiǔ,Trạng từ,Bao lâu,你学汉语学了多久了？,Nǐ xué Hànyǔ xué le duōjiǔ le?,Bạn học tiếng Trung bao lâu rồi?
多么,duōme,Trạng từ,"Biết bao, bao nhiêu",这个地方多么漂亮啊！,Zhè ge dìfāng duōme piàoliang a!,Nơi đây đẹp biết bao!
多数,duōshù,Danh từ,"Đa số, số đông",大多数人都喜欢去旅行。,Dà duōshù rén dōu xǐhuan qù lǚxíng,Đa số mọi người đều thích đi du lịch.
多云,duōyún,Tính từ,Nhiều mây,我喜欢多云的天空。,Wǒ xǐhuan duōyún de tiānkōng,Tôi thích bầu trời nhiều mây.
而且,érqiě,Liên từ,"Hơn nữa, mà còn",她不仅聪明，而且很努力。,"Tā bùjǐn cōngmíng, érqiě hěn nǔlì","Cô ấy không chỉ thông minh, hơn nữa còn rất chăm chỉ."
发,fā,Động từ,"Phát ra, gửi đi",今天发货，明天送达。,"Jīntiān fā huò, míngtiān sòng dá","Gửi hàng hôm nay, giao hàng ngày mai."
发现,fāxiàn,Động từ,Phát hiện,我发现了一个很美的地方。,Wǒ fāxiàn le yíge hěn měi de dìfāng,Tôi phát hiện anh ấy không có ở nhà.
饭馆,fànguǎn,Danh từ,"Nhà hàng, quán ăn",这家饭馆的菜很好吃。,Zhè jiā fànguǎn de cài hěn hǎochī,Tôi đã tìm thấy một nơi tuyệt đẹp.
方便,fāngbiàn,Tính từ,Tiện lợi,这里的交通很方便。,Zhèli de jiāotōng hěn fāngbiàn,Giao thông ở đây rất thuận tiện.
方便面,fāngbiànmiàn,Danh từ,Mì ăn liền,我喜欢吃方便面。,Wǒ xǐhuan chī fāngbiànmiàn,Tôi thích ăn mì ăn liền.
方法,fāngfǎ,Danh từ,Phương pháp,这个方法很好。,Zhège fāngfǎ hěn hǎo,Phương pháp này rất tốt.
方面,fāngmiàn,Danh từ,"Phương diện, khía cạnh",他在数学方面很有天赋。,Tā zài shùxué fāngmiàn hěn yǒu tiānfù,Anh ấy có năng khiếu về toán học.
方向,fāngxiàng,Danh từ,Phương hướng,你走错方向了。,Nǐ zǒu cuò fāngxiàng le,Bạn đi sai hướng rồi.
放下,fàngxià,Động từ,Đặt xuống,请放下手中的笔。,Qǐng fàngxià shǒuzhōng de bǐ,Hãy đặt bút xuống.
放心,fàngxīn,Động từ,Yên tâm,放心吧，我会帮你的。,"Fàngxīn ba, wǒ huì bāng nǐ de","Hãy yên tâm, tôi sẽ giúp bạn."
分开,fēnkāi,Động từ,"Tách ra, phân ly",我们俩不会分开的。,Wǒmen liǎ bú huì fēnkāi de,Hai chúng ta sẽ không bao giờ xa nhau đâu.
分数,fēnshù,Danh từ,Điểm số,这次考试的分数很高。,Zhè cì kǎoshì de fēnshù hěn gāo,Điểm kỳ thi lần này rất cao.
分钟,fēnzhōng,Danh từ,Phút,休息五分钟吧。,Xiūxi wǔ fēnzhōng ba,Nghỉ ngơi năm phút đi.
份,fèn,Lượng từ,"Phần, suất",我点了一份炒饭。,Wǒ diǎnle yí fèn chǎofàn,Tôi đã gọi một phần cơm rang.
封,fēng,Lượng từ,"Bức, phong (thư)",他给我写了一封信。,Tā gěi wǒ xiěle yì fēng xìn,Anh ấy đã viết cho tôi một bức thư.
服务,fúwù,Danh từ,"Sự phục vụ, dịch vụ",这家餐厅的服务很好。,Zhè jiā cāntīng de fúwù hěn hǎo,Dịch vụ của nhà hàng này rất tốt.
复习,fùxí,Động từ,Ôn tập,考试前要认真复习。,Kǎoshì qián yào rènzhēn fùxí,Trước kỳ thi phải ôn tập chăm chỉ.
该,gāi,Động từ,"Nên, cần",你该去休息了。,Nǐ gāi qù xiūxi le,Bạn nên đi nghỉ ngơi rồi.
