哎哟,āi yōu,ái chà
储蓄,chǔ xù,"tiết kiệm, để dành"
处置,chǔ zhì,"xử lý, xử trí"
触犯,chù fàn,"vi phạm, đụng chạm"
川流不息,chuān liú bù xī,"như nước chảy, không ngừng"
穿越,chuān yuè,"vượt qua, xuyên qua"
船舶,chuán bó,"tàu, thuyền"
传达,chuán dá,"truyền đạt, thông báo"
传单,chuán dān,"tờ rơi, truyền đơn"
传授,chuán shòu,"truyền thụ, dạy dỗ"
喘气,chuǎn qì,"thở dốc, thở hổn hển"
串,chuàn,"xâu, chuỗi"
床单,chuáng dān,ga trải giường
创立,chuàng lì,"sáng lập, thành lập"
创新,chuàng xīn,"đổi mới, sáng tạo"
创业,chuàng yè,khởi nghiệp
创作,chuàng zuò,sáng tác
吹牛,chuī niú,"khoác lác, nói phét"
吹捧,chuī pěng,"tán tụng, tâng bốc"
锤,chuí,cái búa
垂直,chuí zhí,thẳng đứng
纯粹,chún cuì,thuần túy
纯洁,chún jié,"trong sạch, thuần khiết"
词汇,cí huì,từ vựng
慈祥,cí xiáng,"từ bi, hiền hậu"
雌雄,cí xióng,đực và cái
刺,cì,"gai, đâm"
伺候,cì hòu,"phục vụ, chăm sóc"
次品,cì pǐn,hàng lỗi
次序,cì xù,thứ tự
丛,cóng,"bụi, lùm"
从容不迫,cóng róng bù pò,"ung dung, bình tĩnh"
凑合,còu he,"tạm bợ, tạm thời"
粗鲁,cū lǔ,"thô lỗ, cộc cằn"
窜,cuàn,"chạy trốn, trốn chạy"
摧残,cuī cán,"tàn phá, phá hoại"
脆弱,cuì ruò,"yếu ớt, dễ vỡ"
搓,cuō,"vò, chà"
磋商,cuō shāng,"đàm phán, thương lượng"
挫折,cuò zhé,"trở ngại, thất bại"
搭,dā,"lắp đặt, dựng lên"
搭档,dā dàng,"cộng tác, hợp tác"
搭配,dā pèi,"phối hợp, kết hợp"
答辩,dá biàn,"biện hộ, bào chữa"
达成,dá chéng,"đạt thành, đạt được"
答复,dá fù,"trả lời, đáp lại"
打包,dǎ bāo,"đóng gói, gói hàng"
打官司,dǎ guān si,kiện tụng
打击,dǎ jī,"đánh, đập"
打架,dǎ jià,đánh nhau
打量,dǎ liang,"quan sát, xem xét"
打猎,dǎ liè,săn bắn
打仗,dǎ zhàng,"đánh trận, chiến đấu"
大不了,dà bù liǎo,"cùng lắm, chẳng qua"
大臣,dà chén,đại thần
大伙儿,dà huǒr,"mọi người, tất cả"
大厦,dà shà,tòa nhà lớn
大肆,dà sì,"bừa bãi, tùy tiện"
大体,dà tǐ,"đại thể, nhìn chung"
大意,dà yì,"đại ý, sơ suất"
大致,dà zhì,"đại khái, chung chung"
歹徒,dǎi tú,"tên cướp, kẻ xấu"
逮捕,dài bǔ,"bắt giữ, bắt bớ"
代价,dài jià,"giá cả, chi phí"
代理,dài lǐ,"đại lý, đại diện"
带领,dài lǐng,"dẫn dắt, lãnh đạo"
怠慢,dài màn,"lơ là, không nhiệt tình"
担保,dān bǎo,"đảm bảo, bảo lãnh"
胆怯,dǎn qiè,"nhút nhát, sợ hãi"
蛋白质,dàn bái zhì,"chất đạm, protein"
诞辰,dàn chén,sinh nhật
淡季,dàn jì,mùa thấp điểm
诞生,dàn shēng,"ra đời, sinh ra"
淡水,dàn shuǐ,nước ngọt
当场,dāng chǎng,"tại chỗ, ngay tại nơi"
当初,dāng chū,"ban đầu, lúc đầu"
当面,dāng miàn,trước mặt
当前,dāng qián,"hiện nay, hiện tại"
当事人,dāng shì rén,"đương sự, người liên quan"
当务之急,dāng wù zhī jí,việc cấp bách hiện tại
当心,dāng xīn,"cẩn thận, chú ý"
当选,dāng xuǎn,"được bầu, trúng cử"
党,dǎng,đảng
档案,dàng àn,"hồ sơ, tài liệu"
档次,dàng cì,"đẳng cấp, mức độ"
倒闭,dǎo bì,"phá sản, đóng cửa"
导弹,dǎo dàn,tên lửa
导航,dǎo háng,"dẫn đường, điều hướng"
捣乱,dǎo luàn,"gây rối, phá rối"
导向,dǎo xiàng,"hướng dẫn, dẫn đường"
岛屿,dǎo yǔ,"đảo nhỏ, quần đảo"
稻谷,dào gǔ,lúa
盗窃,dào qiè,trộm cắp
得不偿失,dé bù cháng shī,mất nhiều hơn được
得力,dé lì,"có hiệu quả, hữu hiệu"
得天独厚,dé tiān dú hòu,"được trời phú, ưu đãi"
得罪,dé zuì,"gây tội, xúc phạm"
蹬,dēng,"đạp, giẫm"
灯笼,dēng lóng,đèn lồng
登陆,dēng lù,"đổ bộ, cập bến"
登录,dēng lù,"đăng nhập, ghi chép"
等级,děng jí,"cấp bậc, đẳng cấp"
瞪,dèng,"trừng mắt, nhìn trừng"
堤坝,dī bà,"đê, đập"
敌视,dí shì,"thù địch, địch thị"
抵达,dǐ dá,"đến, đạt đến"
抵抗,dǐ kàng,"kháng cự, chống lại"
抵制,dǐ zhì,"tẩy chay, ngăn chặn"
地步,dì bù,"tình trạng, tình hình"
地道,dì dao,"địa đạo, chính cống"
地势,dì shì,"địa thế, địa hình"
递增,dì zēng,"tăng dần, tăng lên"
地质,dì zhì,địa chất
颠簸,diān bǒ,"lắc lư, chao đảo"
颠倒,diān dǎo,"đảo lộn, lộn ngược"
典礼,diǎn lǐ,"lễ, buổi lễ"
典型,diǎn xíng,"điển hình, mẫu mực"
点缀,diǎn zhuì,"điểm xuyết, trang trí"
垫,diàn,"đệm, lót"
奠定,diàn dìng,đặt nền móng
惦记,diàn jì,"nhớ nhung, lo lắng"
电源,diàn yuán,nguồn điện
叼,diāo,ngậm
雕刻,diāo kè,điêu khắc
雕塑,diāo sù,tượng điêu khắc
吊,diào,"treo, móc"
调动,diào dòng,điều động
跌,diē,"ngã, rơi"
盯,dīng,nhìn chăm chú
叮嘱,dīng zhǔ,dặn dò
定期,dìng qī,định kỳ
定义,dìng yì,định nghĩa
丢人,diū rén,mất mặt
丢三落四,diū sān là sì,quên trước quên sau
东道主,dōng dào zhǔ,"chủ nhà, chủ tiệc"
东张西望,dōng zhāng xī wàng,nhìn đông nhìn tây
董事长,dǒng shì zhǎng,chủ tịch hội đồng quản trị
栋,dòng,"cây trụ, cây cột"
动荡,dòng dàng,"động loạn, bất ổn"
动机,dòng jī,"động cơ, lý do"
冻结,dòng jié,đóng băng
动静,dòng jìng,"động tĩnh, tình hình"
动力,dòng lì,động lực
动脉,dòng mài,động mạch
动身,dòng shēn,"khởi hành, lên đường"
动手,dòng shǒu,"ra tay, bắt tay"
动态,dòng tài,tình trạng động
洞穴,dòng xué,hang động
动员,dòng yuán,động viên
兜,dōu,"túi, bao"
陡峭,dǒu qiào,"dốc đứng, hiểm trở"
斗争,dòu zhēng,đấu tranh
督促,dū cù,"đốc thúc, thúc giục"
都市,dū shì,"đô thị, thành phố"
独裁,dú cái,độc tài
毒品,dú pǐn,ma túy
赌博,dǔ bó,"đánh bạc, cờ bạc"
堵塞,dǔ sè,tắc nghẽn
杜绝,dù jué,"ngăn chặn, dứt tuyệt"
端,duān,"đầu, điểm"
端午节,duān wǔ jié,Tết Đoan Ngọ
端正,duān zhèng,"chỉnh đốn, ngay thẳng"
短促,duǎn cù,ngắn ngủi
断定,duàn dìng,"phán đoán, kết luận"
断断续续,duàn duàn xù xù,"ngắt quãng, rời rạc"
断绝,duàn jué,đoạn tuyệt
堆积,duī jī,"chất đống, tích lũy"
对策,duì cè,"đối sách, phương án"
对称,duì chèn,đối xứng
对付,duì fù,"đối phó, xử lý"
兑换,duì huàn,đổi (ngoại tệ)
对抗,duì kàng,"đối kháng, chống lại"
对立,duì lì,"đối lập, đối kháng"
对联,duì lián,câu đối
队伍,duì wǔ,đội ngũ
兑现,duì xiàn,"đổi hiện, thực hiện"
对应,duì yìng,"đối ứng, tương ứng"
对照,duì zhào,"đối chiếu, so sánh"
顿时,dùn shí,ngay lập tức
哆嗦,duō suo,"run rẩy, run lên"
多元化,duō yuán huà,đa dạng hóa
堕落,duò luò,"sa đọa, đồi bại"
额外,é wài,"thêm, bổ sung"
恶心,ě xīn,"buồn nôn, ghê tởm"
恶化,è huà,trở nên xấu hơn
遏制,è zhì,"kiềm chế, ngăn chặn"
恩怨,ēn yuàn,"ân oán, thù hận"
而已,ér yǐ,chỉ vậy thôi
耳环,ěr huán,khuyên tai
二氧化碳,èr yǎng huà tàn,khí CO2
发布,fā bù,"phát hành, công bố"
发财,fā cái,"phát tài, làm giàu"
发呆,fā dāi,"ngẩn ngơ, ngây dại"
发动,fā dòng,"khởi động, phát động"
发火,fā huǒ,"nổi giận, bốc cháy"
发觉,fā jué,"phát hiện, nhận ra"
发射,fā shè,"phóng, bắn ra"
发誓,fā shì,"thề, tuyên thệ"
发行,fā xíng,phát hành
发炎,fā yán,"viêm, sưng tấy"
发扬,fā yáng,phát huy
发育,fā yù,"phát triển, trưởng thành"
法人,fǎ rén,pháp nhân
番,fān,"lượt, đợt"
翻,fān,"lật, đảo"
繁华,fán huá,"phồn hoa, sầm uất"
繁忙,fán máng,bận rộn
繁体字,fán tǐ zì,chữ phồn thể
繁殖,fán zhí,"sinh sản, nhân giống"
反驳,fǎn bó,"phản bác, bác bỏ"
反常,fǎn cháng,bất thường
反倒,fǎn dào,"ngược lại, trái lại"
反动,fǎn dòng,phản động
反感,fǎn gǎn,"phản cảm, ghét"
反抗,fǎn kàng,"phản kháng, chống cự"
反馈,fǎn kuì,phản hồi
反面,fǎn miàn,"mặt trái, mặt khác"
反射,fǎn shè,"phản xạ, phản chiếu"
反思,fǎn sī,"suy nghĩ lại, ngẫm lại"
反问,fǎn wèn,hỏi ngược lại
反之,fǎn zhī,ngược lại
范畴,fàn chóu,"phạm trù, lĩnh vực"
泛滥,fàn làn,"lan tràn, tràn lan"
贩卖,fàn mài,"buôn bán, buôn lậu"
方位,fāng wèi,"phương vị, vị trí"
方言,fāng yán,phương ngữ
方针,fāng zhēn,"phương châm, chính sách"
防守,fáng shǒu,phòng thủ
防疫,fáng yì,phòng dịch
防御,fáng yù,"phòng ngự, phòng vệ"
防止,fáng zhǐ,"ngăn ngừa, phòng chống"
防治,fáng zhì,phòng trị
纺织,fǎng zhī,"dệt, dệt may"
放大,fàng dà,phóng to
放射,fàng shè,"phát xạ, bức xạ"
放手,fàng shǒu,"buông tay, thả tay"
非法,fēi fǎ,"phi pháp, bất hợp pháp"
飞禽走兽,fēi qín zǒu shòu,chim bay thú chạy
飞翔,fēi xiáng,bay lượn
飞跃,fēi yuè,"bay vọt, nhảy vọt"
肥沃,féi wò,"màu mỡ, phì nhiêu"
诽谤,fěi bàng,"phỉ báng, vu khống"
匪徒,fěi tú,"kẻ cướp, kẻ xấu"
废除,fèi chú,"bãi bỏ, hủy bỏ"
沸腾,fèi téng,"sôi, sục sôi"
废墟,fèi xū,"tàn tích, đống đổ nát"
分辨,fēn biàn,phân biệt
分寸,fēn cun,"chừng mực, mức độ"
吩咐,fēn fù,"dặn dò, căn dặn"
分红,fēn hóng,"chia lãi, chia lợi tức"
分解,fēn jiě,"phân giải, phân tích"
分裂,fēn liè,"phân liệt, tách rời"
分泌,fēn mì,"tiết ra, bài tiết"
分明,fēn míng,"rõ ràng, phân minh"
分歧,fēn qí,"khác biệt, bất đồng"
分散,fēn sàn,"phân tán, tản ra"
分手,fēn shǒu,"chia tay, chia ly"
坟墓,fén mù,"mộ phần, phần mộ"
粉末,fěn mò,"bột, vụn"
粉色,fěn sè,màu hồng
粉碎,fěn suì,"nghiền nát, phá tan"
分量,fèn liàng,"trọng lượng, khối lượng"
风暴,fēng bào,"bão táp, cơn bão"
封闭,fēng bì,"phong bế, đóng kín"
风度,fēng dù,"phong độ, tư cách"
风光,fēng guāng,"phong cảnh, cảnh đẹp"
封建,fēng jiàn,phong kiến
锋利,fēng lì,"sắc bén, nhọn"
丰满,fēng mǎn,"đầy đặn, phong phú"
风气,fēng qì,"phong tục, tập quán"
风趣,fēng qù,"hài hước, dí dỏm"
丰盛,fēng shèng,"phong phú, thịnh soạn"
丰收,fēng shōu,"bội thu, mùa màng tốt"
封锁,fēng suǒ,phong tỏa
风土人情,fēng tǔ rén qíng,phong tục tập quán
风味,fēng wèi,"hương vị, phong vị"
逢,féng,"gặp gỡ, gặp phải"
奉献,fèng xiàn,"hiến dâng, cống hiến"
否决,fǒu jué,"phủ quyết, bác bỏ"
夫妇,fū fù,vợ chồng
夫人,fū rén,phu nhân
敷衍,fū yǎn,"qua loa, đại khái"
幅度,fú dù,"biên độ, phạm vi"
符号,fú hào,ký hiệu
福利,fú lì,phúc lợi
俘虏,fú lǔ,"bắt giữ, tù binh"
服气,fú qì,"phục tùng, chịu phục"
福气,fú qì,"may mắn, phúc đức"
辐射,fú shè,"bức xạ, tia phóng xạ"
腐败,fǔ bài,"tham nhũng, thối nát"
腐烂,fǔ làn,"thối rữa, mục nát"
腐蚀,fǔ shí,"ăn mòn, bào mòn"
腐朽,fǔ xiǔ,"mục nát, lạc hậu"
抚养,fǔ yǎng,nuôi dưỡng
俯仰,fǔ yǎng,"cúi ngửa, nhấp nhổm"
辅助,fǔ zhù,"hỗ trợ, trợ giúp"
副,fù,"phó, phụ"
负担,fù dān,"gánh nặng, chịu trách nhiệm"
覆盖,fù gài,"che phủ, bao phủ"
附和,fù hè,"phụ họa, theo"
复活,fù huó,"phục hồi, tái sinh"
附件,fù jiàn,tệp đính kèm
附属,fù shǔ,phụ thuộc
腹泻,fù xiè,tiêu chảy
复兴,fù xīng,phục hưng
赋予,fù yǔ,"trao cho, giao cho"
富裕,fù yù,"giàu có, phong phú"
副作用,fù zuò yòng,tác dụng phụ
改良,gǎi liáng,"cải tiến, cải tạo"
盖章,gài zhāng,"đóng dấu, ký tên"
尴尬,gān gà,"ngượng ngùng, khó xử"
干旱,gān hàn,"khô hạn, hạn hán"
干扰,gān rǎo,"can thiệp, quấy rầy"
干涉,gān shè,can thiệp
甘心,gān xīn,"cam tâm, vui lòng"
干预,gān yù,"can dự, can thiệp"
感慨,gǎn kǎi,"cảm khái, xúc động"
感染,gǎn rǎn,"lây nhiễm, truyền nhiễm"
干劲,gàn jìn,"nhiệt tình, hăng hái"
扛,káng,"vác, gánh"
刚刚,gāng gāng,"vừa mới, vừa lúc"
纲领,gāng lǐng,cương lĩnh
港口,gǎng kǒu,"cảng, bến cảng"
港湾,gǎng wān,vịnh cảng
岗位,gǎng wèi,"vị trí, cương vị"
杠杆,gàng gǎn,đòn bẩy
高超,gāo chāo,"cao siêu, xuất sắc"
高潮,gāo cháo,"cao trào, đỉnh cao"
高峰,gāo fēng,"đỉnh cao, cao điểm"
高考,gāo kǎo,kỳ thi đại học
高明,gāo míng,"cao minh, thông minh"
高尚,gāo shàng,"cao thượng, cao quý"
高涨,gāo zhǎng,"tăng cao, nổi lên"
